site_name,STNID,USGS_lon,USGS_lat,x_new_adj,y_new_adj
Delaware River at Belvidere NJ,1446500,-75.10352234,40.80571422,228,303
"Lehigh River at Glendon, PA",1454700,-75.23037413,40.668766,245,297
Delaware River at Trenton NJ,1463500,-74.77784088,40.21509135,282,346
"Schuylkill River at Philadelphia, PA",1474500,-75.19112422,39.94786364,319,321
CHEMUNG RIVER AT CHEMUNG NY,1531000,-76.59609296,42.00346642,135,153
"Susquehanna River at Danville, PA",1540500,-76.66952839,40.94271477,247,176
"West Branch Susquehanna River at Lewisburg, PA",1553500,-76.86337246,40.93258682,252,161
"Susquehanna River at Sunbury, PA",1554000,-76.83449143,40.83112603,262,166
"Juniata River at Newport, PA",1567000,-77.08906945,40.48778861,303,155
"Susquehanna River at Harrisburg, PA",1570500,-76.86049676,40.23268397,325,180
"SUSQUEHANNA RIVER AT CONOWINGO, MD",1578310,-76.15370455,39.63096255,373,253